Restaurante,Puntaje
Spice Cafe,"4,5"
Trafalgar Pizza Club,"5,0"
Albé Barcelona,"5,0"
Braseria La Selva Corcega Barcelona,"4,5"
La Cabrera Barcelona,"4,5"
"San Pedrito, Restaurante Y Licoreria","4,5"
Il Duomo & La Mole,"4,5"
La Tinaja,"4,5"
Cafés El Magnifico,"4,5"
Bronzo Eixample,"4,5"
Horchatería La Valenciana,"4,5"
Terrace 83.3,"4,5"
Pizzería Bar Ottantotto,"5,0"
Caelum,"4,0"
La Pampa,"4,0"
Rooftop Garden - Hotel El Palace Barcelona,"4,5"
Xoxo Barcelona,"4,5"
Hasta los Andares Barcelona,"5,0"
Creps Barcelona,"4,0"
Bar Azul Barcelona,"4,0"
Can Boneta,"4,5"
Paral·lelo,"5,0"
Baluard Barceloneta,"4,5"
Sushifresh,"4,0"
Restaurante Japones Ogura,"3,5"
Lucciano's Barcelona,"4,5"
Nomm,"4,5"
Mimo's Born,"4,5"
Ikibana Borne,"4,0"
L'Olivé,"4,0"
Txapela,"3,5"
Caravelle,"4,5"
Petit Bangkok,"4,5"
Creps al Born,"4,5"
Papadam,"4,5"
Kiosko Universal,"4,5"
El Desvan,"4,5"
Nomomoto Barcelona,"3,5"
Champanillo,"4,0"
Blue Spot Barcelona,"3,5"
Veg World India,"4,5"
Blue Spot Barcelona,"3,5"
Veg World India,"4,5"
Mariscco Còrsega,"4,0"
La Taguara Areperia,"4,0"
La Adelita Botanero,"4,0"
Sagradas Tapas,"4,5"
